MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Group
452.0,18.0,102.0,16.0,18.0,6.0,1
523.0,7.0,134.0,37.0,14.0,169.0,0
398.0,40.0,367.0,119.0,122.0,30.0,3
1.0,3.0,6.0,3.0,6.0,15.0,1
10.0,0.0,1.0,0.0,0.0,0.0,1
688.0,14.0,309.0,201.0,24.0,38.0,2
247.0,49.0,159.0,7.0,82.0,109.0,0
856.0,59.0,487.0,58.0,29.0,73.0,2
496.0,36.0,460.0,189.0,60.0,12.0,3
258.0,107.0,291.0,84.0,37.0,86.0,3
565.0,6.0,65.0,0.0,6.0,19.0,1
14.0,10.0,13.0,4.0,15.0,9.0,1
2.0,1.0,6.0,2.0,1.0,1.0,1
721.0,111.0,925.0,97.0,18.0,18.0,2
1.0,0.0,5.0,0.0,3.0,9.0,1
577.0,0.0,64.0,0.0,0.0,51.0,1
64.0,4.0,68.0,7.0,5.0,17.0,1
4.0,1.0,5.0,2.0,0.0,4.0,1
25.0,5.0,19.0,7.0,0.0,23.0,1
112.0,17.0,44.0,34.0,22.0,89.0,1
163.0,23.0,424.0,27.0,65.0,76.0,2
17.0,8.0,14.0,10.0,4.0,3.0,1
130.0,0.0,16.0,0.0,0.0,5.0,1
292.0,6.0,37.0,0.0,3.0,34.0,1
350.0,60.0,568.0,110.0,133.0,145.0,3
135.0,9.0,39.0,4.0,0.0,7.0,1
15.0,2.0,10.0,0.0,1.0,4.0,1
27.0,2.0,14.0,0.0,0.0,0.0,1
5.0,3.0,11.0,12.0,5.0,9.0,1
505.0,0.0,26.0,0.0,0.0,75.0,1
51.0,2.0,7.0,0.0,1.0,2.0,1
207.0,26.0,447.0,75.0,0.0,223.0,0
386.0,172.0,183.0,185.0,132.0,111.0,3
562.0,81.0,276.0,80.0,40.0,81.0,2
217.0,76.0,690.0,50.0,26.0,38.0,2
1.0,3.0,6.0,10.0,0.0,9.0,1
144.0,1.0,32.0,2.0,1.0,7.0,1
295.0,106.0,271.0,75.0,98.0,65.0,3
76.0,3.0,31.0,4.0,4.0,27.0,1
454.0,194.0,106.0,31.0,22.0,43.0,3
425.0,115.0,292.0,23.0,35.0,79.0,2
1332.0,17.0,311.0,23.0,51.0,86.0,2
527.0,0.0,21.0,0.0,0.0,60.0,1
490.0,44.0,125.0,29.0,20.0,22.0,2
378.0,0.0,101.0,0.0,0.0,72.0,1
64.0,1.0,21.0,0.0,1.0,27.0,1
547.0,99.0,812.0,151.0,82.0,33.0,3
47.0,90.0,94.0,123.0,103.0,120.0,3
12.0,5.0,25.0,0.0,9.0,30.0,1
1.0,6.0,7.0,11.0,5.0,3.0,1
320.0,48.0,133.0,39.0,72.0,48.0,2
34.0,3.0,29.0,0.0,4.0,10.0,1
9.0,0.0,7.0,3.0,4.0,7.0,1
17.0,0.0,14.0,7.0,3.0,2.0,1
722.0,27.0,102.0,44.0,72.0,168.0,0
162.0,33.0,124.0,40.0,28.0,172.0,0
450.0,133.0,951.0,173.0,0.0,216.0,3
70.0,0.0,16.0,0.0,0.0,4.0,1
492.0,19.0,110.0,16.0,12.0,12.0,1
120.0,58.0,73.0,65.0,89.0,58.0,3
534.0,5.0,47.0,0.0,5.0,41.0,1
236.0,106.0,189.0,23.0,41.0,130.0,0
220.0,0.0,33.0,3.0,0.0,23.0,1
796.0,14.0,590.0,38.0,44.0,0.0,2
0.0,1.0,3.0,10.0,6.0,9.0,1
53.0,1.0,34.0,2.0,0.0,16.0,1
15.0,0.0,8.0,4.0,2.0,20.0,1
962.0,61.0,921.0,52.0,61.0,20.0,2
738.0,0.0,232.0,13.0,20.0,50.0,2
399.0,28.0,756.0,36.0,40.0,126.0,0
614.0,16.0,132.0,43.0,33.0,33.0,2
598.0,16.0,141.0,32.0,41.0,49.0,2
2.0,1.0,18.0,20.0,11.0,16.0,1
6.0,1.0,10.0,0.0,1.0,4.0,1
73.0,3.0,90.0,12.0,1.0,32.0,1
42.0,16.0,29.0,12.0,20.0,8.0,1
295.0,21.0,78.0,39.0,13.0,13.0,1
346.0,17.0,48.0,23.0,13.0,13.0,1
233.0,20.0,57.0,8.0,20.0,91.0,0
5.0,7.0,24.0,19.0,14.0,20.0,1
888.0,0.0,57.0,0.0,0.0,76.0,0
997.0,26.0,269.0,34.0,13.0,42.0,2
212.0,6.0,69.0,4.0,12.0,3.0,1
8.0,1.0,7.0,2.0,0.0,0.0,1
42.0,11.0,57.0,10.0,28.0,14.0,1
536.0,11.0,387.0,149.0,91.0,57.0,3
5.0,0.0,3.0,0.0,0.0,5.0,1
1349.0,16.0,249.0,43.0,16.0,33.0,2
53.0,3.0,49.0,7.0,4.0,5.0,1
1001.0,12.0,240.0,16.0,12.0,12.0,2
20.0,2.0,1582.0,1.0,2.0,1.0,2
18.0,1.0,32.0,6.0,3.0,28.0,1
125.0,16.0,98.0,134.0,21.0,27.0,1
212.0,5.0,33.0,7.0,0.0,2.0,1
277.0,162.0,305.0,173.0,76.0,124.0,3
15.0,10.0,19.0,8.0,17.0,20.0,1
7.0,3.0,10.0,8.0,1.0,7.0,1
12.0,4.0,6.0,11.0,8.0,16.0,1
85.0,7.0,24.0,2.0,3.0,27.0,1
81.0,0.0,6.0,0.0,0.0,6.0,1
59.0,0.0,12.0,0.0,0.0,48.0,1
1149.0,71.0,449.0,69.0,71.0,26.0,2
847.0,66.0,119.0,86.0,89.0,111.0,3
29.0,0.0,14.0,0.0,0.0,2.0,1
2.0,0.0,5.0,2.0,0.0,1.0,1
207.0,26.0,447.0,75.0,0.0,223.0,0
152.0,3.0,22.0,2.0,5.0,7.0,1
12.0,11.0,10.0,3.0,12.0,9.0,1
620.0,26.0,195.0,34.0,17.0,141.0,0
47.0,1.0,6.0,0.0,0.0,12.0,1
1.0,9.0,7.0,2.0,14.0,10.0,1
10.0,1.0,18.0,10.0,4.0,7.0,1
35.0,0.0,2.0,0.0,0.0,2.0,1
356.0,0.0,107.0,19.0,9.0,117.0,0
783.0,30.0,537.0,140.0,76.0,15.0,2
42.0,1.0,18.0,3.0,0.0,4.0,1
1.0,4.0,10.0,29.0,0.0,36.0,1
466.0,22.0,432.0,147.0,113.0,102.0,3
15.0,6.0,8.0,7.0,4.0,25.0,1
23.0,3.0,21.0,3.0,19.0,22.0,1
235.0,6.0,45.0,8.0,9.0,12.0,1
10.0,0.0,10.0,3.0,1.0,7.0,1
656.0,16.0,106.0,32.0,16.0,8.0,2
519.0,17.0,813.0,27.0,173.0,51.0,3
344.0,189.0,482.0,50.0,33.0,172.0,3
96.0,1.0,79.0,7.0,1.0,79.0,1
448.0,4.0,34.0,6.0,4.0,39.0,1
265.0,138.0,553.0,224.0,23.0,92.0,3
587.0,43.0,337.0,42.0,87.0,54.0,2
763.0,29.0,138.0,76.0,176.0,58.0,3
22.0,0.0,13.0,0.0,0.0,3.0,1
6.0,4.0,1.0,7.0,2.0,15.0,1
7.0,6.0,13.0,7.0,6.0,14.0,1
81.0,18.0,113.0,47.0,13.0,21.0,1
54.0,0.0,7.0,0.0,0.0,4.0,1
1170.0,48.0,320.0,42.0,32.0,192.0,0
72.0,24.0,68.0,65.0,4.0,8.0,1
613.0,22.0,319.0,33.0,102.0,12.0,2
224.0,0.0,30.0,0.0,0.0,10.0,1
410.0,0.0,59.0,19.0,9.0,44.0,1
239.0,10.0,554.0,254.0,87.0,54.0,3
171.0,7.0,171.0,25.0,19.0,89.0,0
12.0,0.0,4.0,0.0,0.0,1.0,1
1076.0,16.0,417.0,42.0,48.0,16.0,2
182.0,4.0,33.0,0.0,0.0,66.0,1
824.0,32.0,162.0,42.0,32.0,43.0,2
30.0,11.0,25.0,29.0,1.0,18.0,1
377.0,10.0,540.0,80.0,30.0,10.0,2
520.0,7.0,154.0,19.0,0.0,14.0,1
155.0,1.0,25.0,0.0,1.0,3.0,1
897.0,23.0,207.0,15.0,11.0,92.0,2
131.0,0.0,16.0,2.0,1.0,39.0,1
297.0,7.0,79.0,0.0,11.0,182.0,0
787.0,20.0,204.0,0.0,0.0,92.0,0
792.0,86.0,740.0,67.0,51.0,17.0,2
4.0,1.0,9.0,3.0,0.0,0.0,1
231.0,7.0,137.0,4.0,15.0,39.0,1
983.0,76.0,184.0,180.0,138.0,27.0,3
3.0,1.0,8.0,4.0,3.0,3.0,1
0.0,4.0,5.0,6.0,0.0,4.0,1
562.0,21.0,464.0,28.0,10.0,32.0,2
5.0,9.0,20.0,6.0,8.0,21.0,1
18.0,0.0,4.0,0.0,0.0,1.0,1
415.0,5.0,124.0,15.0,35.0,11.0,1
5.0,3.0,10.0,12.0,7.0,20.0,1
8.0,0.0,5.0,7.0,0.0,2.0,1
901.0,61.0,757.0,186.0,163.0,20.0,3
382.0,114.0,276.0,75.0,124.0,38.0,3
14.0,1.0,7.0,2.0,1.0,1.0,1
559.0,153.0,503.0,218.0,13.0,181.0,3
789.0,0.0,133.0,0.0,28.0,152.0,0
11.0,0.0,5.0,0.0,0.0,1.0,1
1218.0,16.0,272.0,104.0,0.0,80.0,2
925.0,64.0,179.0,133.0,12.0,77.0,2
864.0,134.0,768.0,150.0,38.0,172.0,3
960.0,28.0,183.0,220.0,70.0,70.0,3
16.0,3.0,25.0,6.0,1.0,13.0,1
3.0,3.0,7.0,0.0,2.0,11.0,1
168.0,148.0,444.0,32.0,172.0,148.0,3
45.0,47.0,52.0,21.0,20.0,25.0,1
650.0,28.0,353.0,45.0,42.0,30.0,2
24.0,0.0,8.0,0.0,0.0,1.0,1
918.0,21.0,118.0,13.0,10.0,21.0,2
138.0,33.0,87.0,28.0,24.0,12.0,1
12.0,4.0,2.0,10.0,6.0,10.0,1
11.0,0.0,4.0,0.0,0.0,2.0,1
1.0,2.0,8.0,4.0,3.0,13.0,1
554.0,41.0,215.0,11.0,0.0,24.0,2
167.0,2.0,62.0,24.0,13.0,7.0,1
9.0,0.0,6.0,4.0,1.0,5.0,1
177.0,2.0,71.0,3.0,2.0,20.0,1
38.0,4.0,22.0,4.0,2.0,20.0,1
483.0,84.0,398.0,205.0,84.0,241.0,3
77.0,2.0,35.0,0.0,1.0,69.0,1
182.0,74.0,298.0,162.0,149.0,116.0,3
10.0,7.0,19.0,8.0,2.0,21.0,1
778.0,44.0,499.0,95.0,73.0,146.0,3
16.0,7.0,23.0,0.0,8.0,6.0,1
167.0,0.0,43.0,6.0,2.0,13.0,1
13.0,2.0,14.0,8.0,7.0,4.0,1
33.0,6.0,40.0,3.0,7.0,10.0,1
625.0,7.0,99.0,10.0,22.0,7.0,1
216.0,162.0,224.0,101.0,92.0,162.0,3
68.0,129.0,396.0,188.0,22.0,15.0,3
196.0,0.0,512.0,33.0,130.0,54.0,2
635.0,15.0,100.0,20.0,7.0,131.0,0
4.0,19.0,9.0,28.0,25.0,17.0,1
297.0,7.0,79.0,0.0,11.0,182.0,0
84.0,5.0,38.0,150.0,12.0,28.0,1
204.0,7.0,149.0,20.0,15.0,66.0,1
26.0,0.0,8.0,0.0,0.0,3.0,1
15.0,6.0,20.0,4.0,5.0,20.0,1
304.0,98.0,230.0,150.0,74.0,74.0,3
285.0,28.0,242.0,55.0,114.0,135.0,0
395.0,183.0,565.0,166.0,141.0,28.0,3
248.0,3.0,81.0,4.0,3.0,51.0,1
20.0,6.0,5.0,0.0,9.0,12.0,1
39.0,0.0,56.0,20.0,8.0,14.0,1
777.0,129.0,573.0,216.0,21.0,203.0,3
8.0,3.0,22.0,21.0,1.0,13.0,1
9.0,1.0,3.0,0.0,4.0,8.0,1
1241.0,0.0,80.0,0.0,13.0,40.0,2
6.0,4.0,7.0,4.0,3.0,8.0,1
65.0,4.0,16.0,0.0,4.0,11.0,1
395.0,15.0,263.0,60.0,54.0,38.0,2
801.0,0.0,80.0,0.0,0.0,35.0,2
36.0,0.0,12.0,2.0,2.0,10.0,1
513.0,14.0,154.0,19.0,0.0,28.0,1
37.0,0.0,46.0,4.0,3.0,0.0,1
80.0,15.0,93.0,20.0,13.0,52.0,1
14.0,1.0,21.0,2.0,3.0,25.0,1
525.0,147.0,112.0,219.0,147.0,63.0,3
1.0,26.0,25.0,17.0,23.0,15.0,1
675.0,11.0,400.0,15.0,45.0,11.0,2
509.0,0.0,27.0,0.0,0.0,10.0,1
154.0,2.0,46.0,20.0,4.0,15.0,1
3.0,5.0,14.0,2.0,12.0,17.0,1
25.0,0.0,8.0,2.0,0.0,2.0,1
768.0,44.0,561.0,77.0,44.0,14.0,2
185.0,0.0,28.0,3.0,2.0,17.0,1
24.0,0.0,7.0,0.0,0.0,1.0,1
44.0,4.0,21.0,6.0,0.0,27.0,1
91.0,64.0,128.0,65.0,3.0,50.0,1
11.0,0.0,7.0,3.0,1.0,6.0,1
412.0,5.0,119.0,38.0,29.0,77.0,0
3.0,3.0,7.0,6.0,2.0,9.0,1
16.0,0.0,3.0,0.0,0.0,1.0,1
731.0,60.0,353.0,78.0,12.0,73.0,2
424.0,17.0,118.0,7.0,23.0,41.0,1
21.0,2.0,28.0,3.0,2.0,9.0,1
22.0,1.0,11.0,0.0,1.0,2.0,1
33.0,0.0,5.0,0.0,0.0,0.0,1
68.0,7.0,59.0,10.0,5.0,11.0,1
9.0,1.0,6.0,3.0,0.0,4.0,1
40.0,2.0,15.0,8.0,0.0,6.0,1
23.0,1.0,13.0,2.0,2.0,18.0,1
11.0,2.0,9.0,3.0,0.0,8.0,1
317.0,46.0,247.0,151.0,46.0,139.0,3
797.0,153.0,293.0,72.0,97.0,30.0,3
10.0,2.0,16.0,11.0,2.0,21.0,1
856.0,61.0,570.0,40.0,25.0,122.0,2
755.0,144.0,562.0,104.0,64.0,224.0,3
456.0,19.0,832.0,75.0,118.0,38.0,3
37.0,32.0,38.0,11.0,3.0,18.0,1
1103.0,0.0,45.0,0.0,0.0,34.0,2
378.0,14.0,68.0,19.0,14.0,14.0,1
1.0,6.0,7.0,0.0,1.0,3.0,1
204.0,34.0,204.0,172.0,153.0,173.0,3
30.0,0.0,9.0,0.0,0.0,3.0,1
189.0,104.0,379.0,111.0,189.0,218.0,3
15.0,0.0,12.0,7.0,3.0,7.0,1
9.0,0.0,3.0,0.0,0.0,4.0,1
495.0,33.0,255.0,11.0,33.0,8.0,2
656.0,80.0,455.0,52.0,107.0,93.0,3
452.0,20.0,514.0,13.0,30.0,0.0,2
546.0,91.0,410.0,119.0,0.0,22.0,2
1048.0,0.0,217.0,0.0,0.0,12.0,2
22.0,2.0,14.0,0.0,1.0,10.0,1
78.0,0.0,11.0,0.0,0.0,10.0,1
561.0,64.0,785.0,84.0,128.0,48.0,3
629.0,17.0,177.0,69.0,0.0,8.0,2
269.0,15.0,69.0,15.0,19.0,38.0,1
736.0,163.0,818.0,212.0,163.0,61.0,3
512.0,0.0,83.0,0.0,0.0,41.0,1
19.0,3.0,10.0,11.0,8.0,6.0,1
9.0,0.0,6.0,4.0,1.0,5.0,1
247.0,8.0,160.0,6.0,8.0,65.0,1
404.0,0.0,92.0,28.0,27.0,142.0,0
333.0,0.0,815.0,129.0,42.0,29.0,2
2.0,3.0,20.0,6.0,11.0,9.0,1
833.0,33.0,549.0,151.0,133.0,233.0,3
789.0,0.0,142.0,12.0,9.0,38.0,2
10.0,4.0,7.0,0.0,6.0,3.0,1
159.0,4.0,45.0,6.0,2.0,38.0,1
7.0,1.0,6.0,3.0,1.0,11.0,1
977.0,12.0,253.0,16.0,12.0,101.0,2
38.0,4.0,22.0,3.0,3.0,3.0,1
57.0,0.0,27.0,0.0,0.0,36.0,1
3.0,9.0,15.0,13.0,2.0,39.0,1
10.0,4.0,14.0,4.0,4.0,1.0,1
1043.0,24.0,97.0,32.0,24.0,157.0,0
3.0,9.0,13.0,2.0,12.0,12.0,1
11.0,0.0,5.0,0.0,0.0,1.0,1
3.0,6.0,5.0,0.0,2.0,6.0,1
43.0,12.0,96.0,78.0,40.0,55.0,1
73.0,3.0,90.0,12.0,1.0,32.0,1
12.0,0.0,1.0,0.0,0.0,6.0,1
4.0,7.0,7.0,6.0,4.0,13.0,1
314.0,11.0,53.0,4.0,3.0,107.0,0
571.0,50.0,142.0,33.0,50.0,159.0,0
70.0,0.0,11.0,2.0,8.0,23.0,1
866.0,21.0,151.0,28.0,21.0,86.0,2
594.0,134.0,786.0,33.0,134.0,57.0,3
140.0,4.0,61.0,0.0,13.0,4.0,1
375.0,152.0,335.0,93.0,91.0,81.0,3
102.0,9.0,63.0,2.0,9.0,24.0,1
554.0,35.0,113.0,0.0,7.0,78.0,0
919.0,0.0,505.0,99.0,30.0,45.0,2
96.0,1.0,42.0,12.0,3.0,32.0,1
5.0,2.0,16.0,3.0,2.0,19.0,1
2.0,0.0,6.0,8.0,6.0,5.0,1
6.0,4.0,9.0,6.0,36.0,35.0,1
23.0,1.0,25.0,0.0,8.0,7.0,1
610.0,105.0,125.0,137.0,42.0,21.0,3
67.0,5.0,61.0,3.0,8.0,19.0,1
65.0,36.0,74.0,38.0,20.0,110.0,0
416.0,0.0,26.0,0.0,0.0,4.0,1
23.0,0.0,11.0,3.0,2.0,2.0,1
19.0,3.0,26.0,10.0,9.0,3.0,1
155.0,7.0,80.0,13.0,7.0,10.0,1
14.0,0.0,24.0,3.0,3.0,2.0,1
370.0,9.0,92.0,6.0,9.0,4.0,1
4.0,22.0,11.0,3.0,7.0,32.0,1
407.0,53.0,221.0,58.0,150.0,26.0,3
1200.0,0.0,204.0,38.0,29.0,14.0,2
85.0,44.0,54.0,102.0,78.0,6.0,1
583.0,34.0,309.0,0.0,22.0,125.0,0
483.0,0.0,591.0,156.0,0.0,12.0,2
2.0,5.0,9.0,28.0,6.0,28.0,1
966.0,26.0,282.0,52.0,26.0,26.0,2
822.0,114.0,108.0,179.0,137.0,114.0,3
604.0,0.0,100.0,19.0,0.0,28.0,1
19.0,3.0,19.0,3.0,1.0,3.0,1
5.0,3.0,11.0,12.0,5.0,9.0,1
2.0,2.0,2.0,2.0,1.0,1.0,1
1076.0,68.0,103.0,29.0,91.0,68.0,2
1285.0,42.0,716.0,55.0,0.0,21.0,2
10.0,0.0,7.0,2.0,0.0,1.0,1
551.0,137.0,792.0,179.0,103.0,33.0,3
800.0,0.0,297.0,0.0,34.0,57.0,2
2.0,2.0,11.0,10.0,6.0,12.0,1
378.0,0.0,189.0,97.0,172.0,172.0,3
1248.0,16.0,349.0,43.0,16.0,16.0,2
235.0,0.0,235.0,19.0,4.0,191.0,0
515.0,47.0,181.0,149.0,95.0,95.0,3
438.0,66.0,400.0,12.0,38.0,114.0,0
25.0,0.0,22.0,2.0,3.0,5.0,1
31.0,0.0,7.0,2.0,0.0,6.0,1
357.0,35.0,271.0,28.0,28.0,14.0,2
400.0,4.0,35.0,6.0,0.0,22.0,1
99.0,0.0,15.0,2.0,1.0,5.0,1
1.0,11.0,5.0,4.0,6.0,9.0,1
5.0,4.0,13.0,8.0,0.0,4.0,1
77.0,28.0,31.0,16.0,0.0,4.0,1
3.0,1.0,2.0,4.0,3.0,1.0,1
10.0,4.0,14.0,4.0,4.0,1.0,1
0.0,6.0,3.0,7.0,6.0,12.0,1
0.0,0.0,1.0,2.0,12.0,5.0,1
76.0,14.0,74.0,13.0,5.0,10.0,1
398.0,190.0,537.0,61.0,156.0,37.0,3
14.0,7.0,11.0,11.0,0.0,5.0,1
208.0,7.0,82.0,30.0,66.0,35.0,1
430.0,16.0,322.0,43.0,24.0,33.0,2
656.0,38.0,161.0,62.0,47.0,37.0,2
14.0,2.0,30.0,8.0,2.0,3.0,1
141.0,70.0,106.0,72.0,19.0,23.0,1
507.0,19.0,364.0,25.0,47.0,9.0,2
164.0,24.0,103.0,12.0,3.0,42.0,1
606.0,24.0,974.0,197.0,194.0,64.0,3
116.0,11.0,72.0,3.0,17.0,46.0,1
143.0,15.0,60.0,24.0,23.0,5.0,1
398.0,96.0,447.0,220.0,96.0,32.0,3
522.0,0.0,257.0,32.0,16.0,66.0,2
161.0,0.0,253.0,199.0,191.0,122.0,3
112.0,0.0,6.0,2.0,1.0,14.0,1
483.0,84.0,398.0,205.0,84.0,241.0,3
7.0,5.0,39.0,17.0,15.0,37.0,1
789.0,25.0,420.0,16.0,38.0,0.0,2
1239.0,17.0,413.0,23.0,34.0,17.0,2
4.0,1.0,5.0,2.0,0.0,3.0,1
335.0,42.0,127.0,28.0,5.0,5.0,1
639.0,8.0,166.0,11.0,8.0,58.0,2
563.0,76.0,384.0,84.0,192.0,89.0,3
2.0,0.0,8.0,2.0,2.0,3.0,1
746.0,8.0,125.0,11.0,8.0,8.0,2
22.0,1.0,13.0,4.0,0.0,4.0,1
4.0,1.0,6.0,4.0,1.0,9.0,1
478.0,0.0,193.0,110.0,75.0,117.0,0
20.0,3.0,4.0,2.0,0.0,2.0,1
451.0,0.0,39.0,0.0,4.0,24.0,1
371.0,22.0,39.0,6.0,0.0,92.0,0
281.0,7.0,84.0,15.0,0.0,119.0,0
19.0,7.0,19.0,0.0,1.0,24.0,1
26.0,3.0,13.0,2.0,10.0,0.0,1
138.0,15.0,35.0,25.0,11.0,72.0,1
213.0,2.0,44.0,0.0,2.0,5.0,1
407.0,28.0,100.0,120.0,74.0,18.0,2
483.0,74.0,114.0,169.0,37.0,18.0,3
738.0,0.0,232.0,13.0,20.0,50.0,2
502.0,12.0,109.0,16.0,6.0,90.0,0
11.0,0.0,5.0,2.0,1.0,1.0,1
24.0,1.0,108.0,29.0,29.0,14.0,1
1170.0,19.0,594.0,99.0,76.0,134.0,2
185.0,2.0,88.0,15.0,5.0,14.0,1
983.0,20.0,389.0,240.0,50.0,40.0,3
691.0,0.0,69.0,10.0,0.0,130.0,0
504.0,13.0,131.0,8.0,0.0,26.0,1
317.0,25.0,265.0,25.0,19.0,12.0,1
29.0,1.0,9.0,2.0,0.0,2.0,1
1396.0,0.0,322.0,46.0,35.0,17.0,2
529.0,0.0,356.0,63.0,28.0,0.0,2
388.0,14.0,218.0,91.0,14.0,21.0,2
13.0,2.0,21.0,4.0,0.0,24.0,1
28.0,0.0,4.0,0.0,0.0,0.0,1
16.0,36.0,21.0,20.0,62.0,108.0,0
1047.0,0.0,140.0,67.0,38.0,153.0,0
31.0,0.0,7.0,2.0,0.0,6.0,1
815.0,10.0,239.0,28.0,10.0,108.0,0
225.0,162.0,387.0,106.0,36.0,29.0,3
493.0,70.0,324.0,146.0,40.0,84.0,3
34.0,4.0,66.0,3.0,10.0,20.0,1
382.0,138.0,65.0,60.0,26.0,59.0,3
127.0,1.0,56.0,0.0,1.0,31.0,1
325.0,83.0,300.0,86.0,58.0,91.0,3
238.0,17.0,68.0,8.0,10.0,6.0,1
1168.0,92.0,408.0,72.0,129.0,55.0,3
284.0,0.0,55.0,0.0,6.0,52.0,1
1288.0,20.0,613.0,80.0,61.0,27.0,2
65.0,0.0,46.0,4.0,3.0,20.0,1
11.0,7.0,9.0,3.0,1.0,11.0,1
227.0,23.0,389.0,42.0,21.0,75.0,2
1035.0,134.0,670.0,25.0,38.0,0.0,2
27.0,1.0,12.0,2.0,0.0,10.0,1
982.0,73.0,351.0,56.0,14.0,175.0,0
179.0,2.0,64.0,38.0,17.0,58.0,1
1379.0,33.0,216.0,0.0,33.0,66.0,2
32.0,1.0,64.0,16.0,12.0,85.0,1
8.0,4.0,15.0,7.0,6.0,2.0,1
881.0,38.0,319.0,16.0,25.0,12.0,2
141.0,15.0,153.0,67.0,31.0,35.0,1
1000.0,155.0,379.0,224.0,17.0,120.0,3
206.0,10.0,67.0,30.0,27.0,71.0,1
162.0,61.0,83.0,97.0,57.0,61.0,3
619.0,54.0,260.0,127.0,54.0,54.0,2
456.0,4.0,24.0,0.0,0.0,9.0,1
112.0,6.0,92.0,3.0,9.0,38.0,1
11.0,3.0,22.0,2.0,2.0,6.0,1
172.0,12.0,112.0,8.0,0.0,15.0,1
78.0,0.0,11.0,0.0,0.0,7.0,1
464.0,151.0,292.0,65.0,60.0,30.0,3
99.0,4.0,32.0,37.0,54.0,6.0,1
19.0,3.0,19.0,4.0,5.0,26.0,1
1.0,9.0,8.0,11.0,3.0,22.0,1
63.0,10.0,83.0,7.0,19.0,19.0,1
252.0,3.0,42.0,4.0,3.0,102.0,0
1478.0,19.0,403.0,0.0,19.0,0.0,2
198.0,18.0,252.0,32.0,108.0,54.0,2
8.0,4.0,10.0,6.0,7.0,6.0,1
416.0,46.0,925.0,60.0,107.0,46.0,3
42.0,7.0,43.0,20.0,12.0,10.0,1
14.0,3.0,21.0,2.0,1.0,28.0,1
17.0,0.0,3.0,0.0,0.0,1.0,1
15.0,4.0,10.0,3.0,4.0,18.0,1
6.0,16.0,24.0,11.0,0.0,34.0,1
458.0,0.0,24.0,6.0,4.0,34.0,1
30.0,3.0,47.0,19.0,21.0,42.0,1
179.0,28.0,520.0,111.0,123.0,47.0,3
90.0,17.0,97.0,15.0,6.0,15.0,1
308.0,85.0,137.0,102.0,45.0,118.0,3
557.0,129.0,761.0,29.0,185.0,111.0,3
7.0,4.0,13.0,15.0,8.0,17.0,1
